article,english_name,spanish_name,ID ,clasification,IUPAC,CAS,SMILES
https://doi.org/10.1021/acs.jcim.0c01288,musk,almizcle,MUS882023,,androst-16-en-3α-ol,,[H][C@@H]1[C@H](O)CC[C@@]4(C)C1CC[C@@]3([H])C2CCC[C@@]2(C)CCC34
https://doi.org/10.1021/acs.jcim.0c01288,ambrettolide,,AMB882023,,(8Z)-1-oxacycloheptadec-8-en-2-one,123-69-3,O=C1CCCC/C=C/CCCCCCCCCO1
https://doi.org/10.1021/acs.jcim.0c01288,traseolide,,TRA882023,,"1-(1,1,2,6-tetramethyl-3-propan-2-yl-2,3-dihydroinden-5-yl)ethanone",68140-48-7,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C
https://doi.org/10.1021/acs.jcim.0c01288,cis-3-hexenol,,CIS882023,,cis-3-hexenol,928-96-1,CC/C=C\CCO
https://doi.org/10.1021/acs.jcim.0c01288,Cyanuric acid,ácido cianúrico,CYA882023,almendras amargas,"1,3,5-triazinane-2,4,6-trione",108-80-5,C1(=O)NC(=O)NC(=O)N1
"https://doi.org/10.1021/acs.jcim.0c01288
https://doi.org/10.1016/j.bios.2021.113664
https://doi.org/10.1016/j.cels.2019.02.009",Carvone,carvona,CAR882023,,2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,"99-49-0
",C=C(C)[C@@H]1C/C=C(C)\C(=O)C1
https://doi.org/10.1021/acs.jcim.0c01288,Menthol,mentol,MEN882023,menta verde,5-methyl-2-propan-2-ylcyclohexan-1-ol,1490-04-06,CC1CCC(C(C1)O)C(C)C
https://doi.org/10.1021/acs.jcim.0c01288,Carbon Dioxide,dioxido de carbono,CARD882023,balsámico,,124-38-9,C(=O)=O
https://doi.org/10.1021/acs.jcim.0c01288,Adipic acid,acido adipico,ADI882023,balsámico,hexanedioic acid,124-04-09,O=C(O)CCCCC(=O)O
https://doi.org/10.1021/acs.jcim.0c01288,clortetrin,clortetrin,CLO882023,balsámico,"(4S,4aS,5aS,6S,12aR)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide;hydrochloride",64-73-3,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl
https://doi.org/10.1021/acs.jcim.0c01288,Propionaldehyde,propionaldehído,PRO882023,tierroso,propanal,123-38-6,CCC=O
