ID,SMILES,SMILES_chiral,SMILES_no_chiral
MUS882023,[H][C@@H]1[C@H](O)CC[C@@]4(C)C1CC[C@@]3([H])C2CCC[C@@]2(C)CCC34,C[C@@]12CCCC1[C@@H]1CCC3C[C@H](O)CC[C@]3(C)C1CC2,CC12CCCC1C1CCC3CC(O)CCC3(C)C1CC2
AMB882023,O=C1CCCC/C=C/CCCCCCCCCO1,O=C1CCCC/C=C/CCCCCCCCCO1,O=C1CCCCC=CCCCCCCCCCO1
TRA882023,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C
CIS882023,CC/C=C\CCO,CC/C=C\CCO,CCC=CCCO
CYA882023,C1(=O)NC(=O)NC(=O)N1,O=c1[nH]c(=O)[nH]c(=O)[nH]1,O=c1[nH]c(=O)[nH]c(=O)[nH]1
CAR882023,C=C(C)[C@@H]1C/C=C(C)\C(=O)C1,C=C(C)[C@@H]1C=CC(C)C(=O)C1,C=C(C)C1C=CC(C)C(=O)C1
MEN882023,CC1CCC(C(C1)O)C(C)C,CC1CCC(C(C)C)C(O)C1,CC1CCC(C(C)C)C(O)C1
CARD882023,C(=O)=O,O=C=O,O=C=O
ADI882023,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O
CLO882023,CN(C)C1C2CC3C(C4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)c3c(c(O)c4c(Cl)ccc(O)c4c3O)CC12,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)c3c(c(O)c4c(Cl)ccc(O)c4c3O)CC12
PRO882023,CCC=O,CCC=O,CCC=O
DIP882023,CCCSSCCC,CCCSSCCC,CCCSSCCC
MET882023,CC1=NC=CN=C1OC,COc1nccnc1C,COc1nccnc1C
OCT882023,CCCCCCCCO,CCCCCCCCO,CCCCCCCCO
CAR762023,C=C(C)[C@H]1C/C=C(C)\C(=O)C1,C=C(C)[C@H]1C=CC(C)C(=O)C1,C=C(C)C1C=CC(C)C(=O)C1
GAL722023,CC2COCc1cc3c(cc12)C(C)(C)C(C)C3(C)C,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C
