ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,FRACROTBOND,CHIRALCENTERS,HALOGEN
MUS882023,O[C@]1CC2[C@@](C)(C3[C@](C4[C@](C)(CC3)CCC4)CC2)CC1,QuimfraganDB,1,1,4.7800999,20.23,276.46399,1.0,20,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,7,0
AMB882023,O=C1OCCCCCCCCC/C=C/CCCC1,QuimfraganDB,2,0,4.7806001,26.299999,252.39799,0.8125,18,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0
TRA882023,O=C(C)c1c(C)cc2C(C)(C)C(C)C(C(C)C)c2c1,QuimfraganDB,1,0,4.8645201,17.07,258.405,0.6111111,19,2,1,2,1,0,1,0,1,0,6,0,0,0,0,0,0,1,0.1,2,0
CIS882023,OCC/C=C\CC,QuimfraganDB,1,1,1.335,20.23,100.161,0.66666669,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0
CYA882023,O=C1NC(=O)NC(=O)N1,QuimfraganDB,3,3,-2.2485001,98.580002,129.075,0.0,9,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0.0,0,0
CAR882023,O=C1C(C)C=C[C@@](C(=C)C)C1,QuimfraganDB,1,0,2.3438001,17.07,150.22099,0.5,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909094,2,0
MEN882023,OC1C(C(C)C)CCC(C)C1,QuimfraganDB,1,1,2.4395001,20.23,156.269,1.0,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909094,3,0
CARD882023,O=C=O,QuimfraganDB,2,0,-0.58350003,34.139999,44.008999,0.0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0
ADI882023,O=C(O)CCCCC(=O)O,QuimfraganDB,2,2,0.71600002,74.599998,146.142,0.66666669,10,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.55555558,0,0
CLO882023,Clc1c2c(O)c3c(c(O)c2c(O)cc1)C(O)C1(O)C(=O)C(C(=O)N)C(=O)C(N(C)C)C1C3,QuimfraganDB,9,6,-0.26969999,181.62,464.858,0.38095239,32,4,11,2,2,0,2,0,2,0,10,0,0,1,0,0,2,8,0.057142857,5,1
PRO882023,O=CCC,QuimfraganDB,1,0,0.59530002,17.07,58.080002,0.66666669,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33333334,0,0
DIP882023,S(SCCC)CCC,QuimfraganDB,2,0,3.1877999,0.0,150.312,1.0,8,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71428573,0,0
MET882023,O(C)c1c(C)nccn1,QuimfraganDB,3,0,0.79361999,35.009998,124.143,0.33333334,9,1,3,1,0,0,0,1,1,0,6,0,0,0,0,0,2,1,0.11111111,0,0
OCT882023,OCCCCCCCC,QuimfraganDB,1,1,2.3392,20.23,130.231,1.0,9,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0,0
CAR762023,O=C1C(C)C=C[C@](C(=C)C)C1,QuimfraganDB,1,0,2.3438001,17.07,150.22099,0.5,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909094,2,0
